Razao_Social;CNPJ;Endereco;Latitude;Longitude;Nome_Fantasia;Municipio;Frequencia;UF;ID_Estação;Rede;Canal;Largura_de_banda;Modulacao;Servico_RNR;Situacao_de_Licenciamento;Servico_ANATEL;Observação
 GOV. DO EST. DE GOIAS - AGENCIA GOIANA DE COMUNICACAO; 03520902000147; RUA SC 1, 299; 18S242254; 49W112614;; Goiânia;187250,0000; GO; 323034683;;9;6000;ISDB-T;TV Digital;;802;
 SOCIEDADE RADIO E TELEVISAO ALTEROSA S. A.; 17247925000134; AVENIDA ASSIS CHATEAUBRIAND, 499; 20S443700; 42W033300;; Belo Horizonte;507250,0000; MG; 534270484;;20;6000;PAL-M;TV Analógica;;800;
 TELEVISAO BAHIA LTDA; 13425269000161; RUA ARISTIDES NOVIS, 123; 13S270800; 40W253500; TV BAHIA; Salvador;205250,0000; BA; 322644186;;12;6000;PAL-M;TV Analógica;;800;
 TELEVISAO RIO FORMOSO LTDA; 02910917000159; AVENIDA MATO GROSSO, 1616; 10S453800; 48W542500; TELEV ANHANGUERA DE GURUPI; Gurupi;187250,0000; TO; 323022359;;9;6000;PAL-M;TV Analógica;;800;
 FUNDACAO PADRE ANCHIETA - CENTRO PAULISTA DE RADIO E TV EDUCATIVAS; 61914891000186; RUA CENNO SBRIGHI, 378; 21S485000; 47W165500;; São Paulo;591250,0000; SP; 9149368;;34;6000;PAL-M;TV Analógica;;800;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 17S343700; 52W322000;; Cachoeira Paulista;483250,0000; SP; 442795084;;16;6000;ISDB-T;TV Digital;;802;
 TVSBT CANAL 3 DE NOVA FRIBURGO LTDA; 29341120000134; CAMPO DE SAO CRISTOVAO, 105; 22S272600; 43W270600;; Rio de Janeiro;621250,0000; RJ; 6726348;;39;6000;PAL-M;TV Analógica;;800;
 FUNDACAO PADRE ANCHIETA - CENTRO PAULISTA DE RADIO E TV EDUCATIVAS; 61914891000186; RUA CENNO SBRIGHI, 378; 24S423400; 48W003900;; São Paulo;591250,0000; SP; 9149872;;34;6000;PAL-M;TV Analógica;;800;
 FUNDACAO JOAO PAULO II; 50016039000175; RUA JOAO PAULO II, S/Nº; 19S261800; 49W211800;; Cachoeira Paulista;621250,0000; SP; 323679722;;39;6000;PAL-M;TV Analógica;;800;
 SAT SISTEMA A TRIBUNA DE COMUNICACAO-SANTOS LTDA; 58780453000168; RUA JOAO PESSOA, 129; 24S185000; 47W382900;; Santos;663250,0000; SP; 9252584;;46;6000;PAL-M;TV Analógica;;800;
